Date : 2025-05-26 00:01:41
Directory : d:\NUEDC\project_3_Car_Learning
Total : 60 files,  13144 codes, 286 comments, 680 blanks, all 14110 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |          2 |      9,936 |          0 |          2 |      9,938 |
| C          |         14 |      1,842 |         97 |        294 |      2,233 |
| Makefile   |         29 |        628 |        107 |        234 |        969 |
| C++        |         13 |        477 |         82 |        129 |        688 |
| JavaScript |          1 |        247 |          0 |         20 |        267 |
| Markdown   |          1 |         14 |          0 |          1 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |         60 |     13,144 |        286 |        680 |     14,110 |
| . (Files)                                                                     |          1 |         14 |          0 |          1 |         15 |
| Patrol Car                                                                    |         59 |     13,130 |        286 |        679 |     14,095 |
| Patrol Car (Files)                                                            |          2 |        433 |         19 |         32 |        484 |
| Patrol Car\Debug                                                              |         34 |     11,229 |        113 |        417 |     11,759 |
| Patrol Car\Debug (Files)                                                      |         10 |     10,989 |         17 |        237 |     11,243 |
| Patrol Car\Debug\app                                                          |         14 |        140 |         56 |        105 |        301 |
| Patrol Car\Debug\app\buzzer                                                   |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\encoder                                                  |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\hc_06                                                    |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\motor                                                    |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\mpu6050                                                  |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\tb6612                                                   |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\app\tracking                                                 |          2 |         20 |          8 |         15 |         43 |
| Patrol Car\Debug\delay                                                        |          2 |         20 |          8 |         15 |         43 |
